,userName,content,score,manualSentimentLabel
140,Is. Ramdhani,"Saya nilai dengan reall ... baru download app nya tapi pas buat murotal ini sering brenti sendiri app nya ,,,. Bukan karna hp sy ya .... tolong perbaiki lagi",1,0
153,Mas Bro,Saya kecewa karena aplikasi harus pakai internet baru bisa dibaca halaman suratnya,1,0
158,Rumani Wonosobo,"Mohon maaf, ini knp waktu buka bagian tafsir sering keluar sendiri. Tp di bagian lain tidak. Mohon konfirmasi nya",2,0
177,Aliragil86,"Mohon maaf masih banyak bug di aplikasi ini. Mohon diperbaiki. Sering menutup sendiri, saat menuju surat atau ayat masih sering kluar ke menu utama dan banyak lagi masalah lainya",2,0
189,Inam Misbah,"1. Sering mati sendiri, keluar dari aplikasi 2. Dibaca satu halaman belum selesai, tiba² layar nutup sendiri.",1,0
212,Muhammad Umar Faruq,Fitur Quran Per halaman ketika ditekan lama langsung force closed.. Mohon untuk diperbaiki...,3,0
213,محمود اشعاري,Kadang2 bleng,3,0
217,Subur Nurhasanah,"Assalamualaikum.. saya pengguna baru, tiap halaman harus di download dulu, tidak bisa langsung, dan ketika ingin memutar ke Suara/mp3.. sering terhenti dan tiba2 keluar dengan sendirinya.. perlu perbaikan. Terimakasih",3,0
218,Yaquel Kadon't,Bagus tp yg bagian atas dan bawah halaman gk bisa dibaca karna terhalang oleh menu,1,1
220,yusron fadhli,Masih banyak bug-nya Sering nge-hang pas sedang buka,3,0
233,Nur,Jam sholat tidak sesuai. Tulisan arab banyak yang salah dan tidak sesuai dengan tulisan latinnya.,1,0
257,Mas Akim,"Sayang versi sekarang ngga ada doa khotmil quran nya, ngga kaya yang dulu...istilahnya percuma download apk ini kalo ujung-ujungnya pas mau mengkhatam harus pake media lain untuk baca doanya😐",3,0
264,La ode Sar,Halamannya tidak bisa di download semua sekaligus... Harus perhalaman... Repot Jadinya,2,0
265,Le Mari,"tolong di benarkan terjemahan almaidah ayat 51. {tentang penafsiran auliya diterjemahkan teman setia,} semua oarang tau aulia maknanya pemimpin",1,0
273,fajria spdi,"Kok pilihan bacaan per ayat dan perhalaman tdk bisa trbuka klo mo dipke ngaji. Setiap di klik, eh jd kmbali ke lyar utama. Tlong dong prbharui lg appnya. Spy bsa brmnfaat dmnapin dn kpnpun. Tolong yaaa🙏🙏🙏",3,0
279,Tatang Gunawan,"Aplikasinya bagus, cuma kenapa kalau mengaji saat offline pada Al-Quran lembaran (perhalaman) kadang-kadang suka kosong tanpa hurup, jadinya harus berulang-ulang ngunduh. Akhirnya mengaji tidak nyaman, tolong diperbaiki lagi....",2,1
280,PERTANIAN JATTIRIDO,"Bagus, cuma kadang-kadang jika dipakai offline aplikasi perlembarnya suka berhenti sendiri alias bleng (kosong). Jadi harus berulang-ulang ngunduh. Mohon perbaiki supaya ngajinya nyaman. Terima kasih.",2,1
282,Umar Husnul,"Terimakasih, disampaikan kepada tim kementerian agama yg telah membuat aplikasi ini, semoga bermanfaat bagi kita semua, aamiin",2,1
289,Suaidi Mashfuh,Kesulitan upload,2,0
292,almasdi sikumbang,Sering keluar sendiri kalau dirobah surat atau qorinya.,3,0
293,Cak Mahdi,"Kecewa bngt pas mau lnjut membaca Al Qur'an hlmn berikutnya GK bisa dibuka. Aplikasinya sih bagus, cuma hrs online dan loading setiap buka hlmn berikutnya yg kadang cepat kadang jg lama, bisa GK sih min dibuat GK seperti itu..??",3,1
297,Endang Jaenudin,Apakah almaidah ayat 51 terjemahan masih sm dgn sebelumnya? Gak dikotakkatik kn?,2,0
308,Wedi Nofrian,Assalamualaikum. Kadang suka blank. Tapi setelah di cek ulang muncul,3,0
313,muhammad subarkah,"Aplikasinya bagus, tp sayang ga ada mode gelapnya Tlg d tambahkan kalau bs min. Terima kasih",3,1
314,DevCo Channel,Maaf saya uninstal. Pindah ke aplikasi Al quran lain yg artinya masih murni. Tdk di rubah2 karena alasan tertentu.,1,0
317,sri yulianah sri,Maaf pak yai mohon koreksi kembali ada 1 lembar halaman yang hilang pada surah Thoha halaman 316 juz 16 dari ayat 65-76,2,0
332,Imam Syah Roni,"Kalau buka halaman mesti loading dulu, nggak bisa ngesafe halaman.",3,0
335,moh nurhotib,Alangkah bagusnya.. jika aplikasi ini bisa di akses kondisi offline..,3,1
340,udin saifudin,"Tolong di perbaiki,di hp saya banyak halaman yang kosong,mulai dari surat maryam ayat 38,kosong semua",1,0
359,Ana Syelviana,"Saya ingin mengetahui tafsir dari ayatnya, akan tetapi setelah saya memilih tafsir malah keluar dari aplikasinya",2,0
369,Ahmadiy,Tafsirnya tidak bisa dibuka,2,0
370,Achmad Fatkhul Ma'ali,Mohon diberi tanda waqof ibtida'.,3,0
372,Faisal Tank,Info Suara azan kadang tdk bunyi 👺,3,0
380,Cahaya Damay,Al Lukman ayat 15 kepotong hurufnya. Bisa salah baca jadi menyesatkan.,3,0
384,Lukman Widi,"Setelah update sekarang tdk bisa buka Al Quran selalu force close, buka di web skrg juga sangat lama, padahal saya sangat terbantu dgn tampilan Quran yg per halaman utk hafalan dan menyesuaikan dgn mushaf",2,0
385,Anton Yashimoto,"tolong perbaiki bug aplikasinya,,, saat buka quran perhalaman layar hp tdk always on,, jika lama tdk di sentuh layar hp akan auto lock,, dan aplikasi terclosed apabila kita sentuh dan tahan pd quran perhalaman",3,0
387,Muhammad Irfan,Kok gak ada fitur terakhir di baca ya ?,3,0
394,Kefin Kefin,Bikin aplikasi jangan setengah-setengah. Buat fitur yang lebih banyak. Uang negara jangan dijadikan disia-siakan,2,0
400,fardi hmns,"Bagus dengan adanya versi terjemahan baru. Qur'an per halaman belum ada download halaman Qur'annya untuk 30 juz, hanya per halaman dan harus aktif internet.",3,1
409,Aryadi Presley,Kurang bagus tapi saya percaya quality depag dalam hal quality control al quran.,3,1
412,Asep Mustofa Ikhwanul Jamil,"Halaman sudah di download, tapi begitu balik lagi malah download ulang lagi... Tolong adain opsi download semua halaman trus nyimpen filenya jangan di android>data (mungkin itu penyebab downloadan gak kesimpen seutuhnya",1,0
425,Tugino Ibro,Kok Al quran nya belum bisa di buka . Kalau di klik malah kembali ke awal,3,0
428,H Abdul,"1. Waktu imsak dan waktu terbit tidak ada, sangat tidak membantu seharusnya ada karna waktu ini juga penting. 2. Tulisan arab dan terjemahan Tolong pisahkan Ukuran FONTnya, krena sangat tidak nyaman jika di satukan ukuran fontnya. 3. Kalender hijriyah sudah bagus pertahankan jgn sampai salah. 4. Insya allah kami akan koreksi lagi jika ada kekurangannya.",1,0
429,Agus Supriyadi,Apaan ini almaidah 51 artinya di ganti.. Pemimpin di ganti teman setia. Elo kira ayat mencari pasangan hidup. 😂😂😂,1,0
430,devil iblis,edisi 2002 surat At-Tur ayat 6 salah teremahan tolong diperiksa .. tolong diperiksa juga yg edisi 2019 ada yang tidak sesuai.. terimakasih,2,0
434,sunaryo nasrowi,Bagus.,3,1
441,Nurkasin Nur,Subhanallah... mendukung banget,3,1
442,hendra kusumah,"Untuk alquran bagus,tapi jadual adzan sama suara adzan nya nggak tepat.isya di jadualnya 19.31 suara adzannya 19.43, jadual suara adzan yang lainnya juga kadang tepat kadang nggak tepat.",2,1
446,J Cheeroke,Sering bug....mhn diperbaiki,2,0
447,Al qodar,"Assalamualaikum....saya sudah download ini APK ,tapi saat di gunakan buka kompas qiblat,ko engak bsa muter ini kompas,pdahal hp sudah putar sesuai angka 8...trus satu lagi. Pengingat adzan ko ngak ada pilihan 5mnit,10mit... Ini lgsung 15mnit...dan saat masjid sudah adzan ,dri aplikasinya belum bunyi..ketinggalan jauh dr suara adzan yg aslinya.",3,0
450,Lisa Rasyid,Harusnya arti dari setiap ayat jgn memakai bahasa tafsiran.,1,0
457,Mumu Mukhlisin,"Setelah diupdate kenapa malah trouble tidak bisa terbuka, keluar sendiri. Ada bug yg mesti diselesaikan trus, mohon segera diperbaiki, biar kami makin rajin buka quran dimanapun, drpd buka medsos",1,0
459,Samar Hari,"al maidah ayat 51 tolong dicek terjemahnya, maaf bila mungkin ada kesalahan kiranya segera diperbaiki",1,0
463,Andi Setyo Aji,"Izin menyampaikan kritik saran, untuk versi yg terbaru ini terjemahannya saya rasa banyak yg kurang sesuai dengan arti (per kata) dari ayatnya, walaupun secara keseluruhan maksud arti (per ayat) masih sesuai. Mungkin alangkah baiknya jika yg digunakan terjemahan dari versi yg sebelumnya, karena bahasanya lebih mudah dipahami/dipelajari per kata per ayat. SEMOGA BISA SEGERA DISESUAIKAN DENGAN VERSI TERBARU YG SELANJUTNYA TAPI DENGAN TERJEMAHAN VERSI YG SEBELUM VERSI INI,. Terimakasih 🙏 kurang ⭐⭐",2,0
466,The Interesting Vidio,Hati hati jangan asal donlod apk quran karna sudah ada beberapa ayat yang di ubahnya.,1,0
476,Fyant Sauri,"Edisi sebelum yg sekarang itu dah bagus bintang 4 deh, kompas qiblatnya masih perlu sedikit perbaikan krna lambat. Sekarang cukup bintang 1 aja.",1,0
490,Ibnu Labib,"Update terbaru kualitasnya tidak lebih baik dari versi sebelumya, masih byk bug, loading lama utk sekedar buka list surah. Saya lebih suka dgn versi sebelumnya.",3,0
491,Abah Imron,"pas cari ayat langsung hang, qori al qurannya kenapa tidak dari indonesia saja. adzan subuhnya tdk ada الصلاة خير من النوم",3,0
492,Ijal Toyota,Untk alquraan nya lebih bagus yg versi sebelumnya... ini tiap mau buka quran harus download perhalaman dan lama.. mohon perbaikanya,2,0
496,Muhammad Faisal,"Perubahan signifikan di aplikasi Al-Qur'an ini... menyesuaikan kasus penista agama AHOK... Surat Al-Maidah ayat 51 Wahai orang-orang yg beriman, janganlah kamu menjadikan orang yahudi dan nasrani sebagai PEMIMPIN-mu... kenapa di rubah menjadi TEMAN SETIA-mu...?? Segitu membelanya kah kalian dengan manusia penista agama tsb, dengan merubah terjemahannya... Langsung UNINSTAL nih aplikasi...",1,0
499,Suwandi Anjasmara,"Setelah Upgrade terbaru tgl 27 Januari 2021, sudah tidak bisa dibuka lagi bacaan Al-Qur'an per ayat hingga perhalaman. Semoga yg masih belum upgrade tgl 27-01-2021 jangan di upgrade dulu masih belum bisa digunakan aplikasi Qur'an Kemenag ini.",1,0
518,Taufik Anwar,Aplikasi ga ada paedahnya,1,0
531,Irsyadul Ihsan,Benar² bermanfaat,3,1
537,Devan Syahrul Ramadhan,Kalau ada versi offline lagi saya tambah bintangnya. sementara saya hapus aplikasi ini dulu dan beralih ke versi cetak.,2,0
546,Yonosuhariyono Yonosuhariyono,"Bikin appl alquran mboyo sing genah cung!!!ojo mbok ngo gawe #golek dwek,nyatane alquran perhalaman di bukak gak bisa! Jenenge quran kemenak.hapusen wae applmu iku!!!ojo ngesin2ni kemenak !!",1,0
555,Muhammad Fauzi,"Masih ada bug, al-Qur'an perhalamannya tidak bisa tampil.",3,0
556,Yusuf Hambali,Mode qur'an perhalaman tampilan blank (kosong) tidak muncul Al-qur'an nya padahal koneksi internet lancar,1,0
557,Super Devil,Ini error ap gimana,1,0
558,alfian andre,tolong perbaiki agar bisa dipakai offline. terimakasih,1,0
565,Jhons,"Tolong dikasih tajwid dan penjelasan tajwid agar semua usia bisa hafal tajwid. Saya lebih senang yang per ayat karena ada artinya, tolong dikasih tajwid dan penjelasan tajwid",2,0
566,Adi Prabowo,"Development tolong dikasih menu penanda bacaan, supaya kalau habis ngaji terus mau pindah baca surat lain bisa ditandai halamannya, terimakasih",1,0
603,Kroya Waraniaga,Kalau off line ngeblank putih,1,0
609,Zaenal Arifin,Ketika buka aplikasi Qur'an nya kok lama ya munculnya,2,0
624,Anak Jawa Batam,"Admin tolong ditashih lagi, terjemah surah At-Taubah 9 : 34. Artinya membingungkan. ""Fabasysyirhum"" diartikan ""maka berikanlah kabar gembira kepada mereka, (bahwa mereka akan mendapat) azab yang pedih"". Kenapa mendapat azab kabar gembira? Bukan diterjemah seperti biasa ""maka beritahukanlah kepada mereka, (bahwa mereka akan mendapat) azab yang pedih"". Mohon jawabannya min..",2,0
631,Budi Prayogo,"Kog gak ada huruf apa"" ya.? Tapi sinyal ok",1,0
633,Rizal Sneihcderlin,Saya menghapus karena ram nya tidak cukup,3,0
662,irwan setiawan,Kok gal ada fitur baca terakhir seperti versi sebelumnya dan ukuran font untul baca per halaman lebih besar versi sebelumnya. Mohon dipertimbangkan dan diperbaiki. Terima kasih. Wassalamu'alaikum,3,0
669,Sanu Rita,Yang perhalaman kok ga bisa....?,3,0
689,TERUS NoTo,Ada menu terjemah perkata lebih baik,3,0
692,Rifky Fnu,Al maidah ayat 51 berubah tafsir dari tafsir aljalalain.. Hati2 dalam memilih alquran digital di hp sobat muslim,1,0
700,C Triharso,"Pada saat awal..tiap klik ayat terus klik ""lihat tafsir""..akan tampak tafsir dari ayat tersebut.. skrg tiap liat ayat klik ayat..terus klik ""lihat tafsir""..yang kliatan tafsir ayat Al Fatiha..bukan tafsir ayat tsb.. mohon perbaikan",3,0
722,"Syarifudin, S.Pd.I",knp suara azan yg trakhir trpotong cm smpe لا اله ?,1,0
723,Saifud Mz,"1) Maaf, Tidak adanya penanda ayat terakhir, membuat lupa untuk melanjutkan bukan halaman terakhir. 2) Kalau bisa untuk waktu sholat nya ditambahkan waktu ""terbit"" sesuai lokasi masing2. 3) tampilan Qur'an halaman kurang besar",2,0
724,Sinta Cahaya,Bagus,3,1
736,kepala suku,"Dengan perbaruan aplikasi ini penanda bacaan terakhir saya hilang, saya cari d aplikasi jg tidak menemukan.. Kenapa hrs di hilangkan?",2,0
744,Pray Yitno,"Lebih simpel versi sebelumnya. *Untuk Tampilan per halaman terlalu kecil, tidak bisa di zoom. *Untuk Tampilan pe rayat, letak nomor ayat pada baris pertama cukup membuat rancu, terutama pada ayat-ayat pendek. Menurut saya seperti sebelumnya saja, diletakkan di akhir ayat. *Saat hendak scrol selalu muncul pop up bagikan, bookmark dll, cukup mengganggu (sentuhan terlalu sensitif, sebaiknya sentuh dan tahan). *Untuk penanda bacaan terakhir saya lebih suka seperti versi sebelumnya.",2,0
752,chang chung,"2 bintang dulu, klo arah qiblatnya dah bisa digunain nnt bintangnya ditambah lagi. Semangat trus buat kemenag dan jajarannya.",2,0
754,riyadiesy official,"Mohon diperbaiki aplikasinya, belum 1 menit terbuka, aplikasinya keluar sendiri dari tampilan. jadi susah buat baca alqur'an. padahal ini yg saya cari. Mohon diperbaiki lagi",3,0
763,Mohammad Rofian,Masih banyak kekurangannya,2,0
764,Sultan Satrio,"Tidak adanya PENANDA menyulitkan sy untuk mlanjutkan bacaan Al quran, tolong beri fitur sebagai penanda bahwa bacaan al quran akan dibaca lg atau akan dilanjutkan lg suatu waktu. Satu lg, tolong jg waktu stanby layar jgn dibatasi, karena saat membaca al quran, dlm hitungan detik tiba² layar padam.",2,0
767,iskandar,"Lebih menarik dibanding sebelum diupgrade, lebih simpel, jelas khas kemenagnya, bisa mendengarkan scr offline dengan ayat berlanjut, skrg hrs online. Mana sumbangsih kemenag untuk ummat. Bisnis aja mikirnya. Pantas Islam loyo.",1,0
773,Bang Roey,"Untuk lembar full qur'annya supaya ada halamannya.. jadi kalo mau baca di juz 10, misalnya, tidak harus scrolling sampe pegel baru nyampe juz 10.. semoga segera ada perbaujan segera...",3,0
776,Dian Erwin Fahwian,"Saya kasih bintang 3 dulu, menurut saya ada baiknya di tambahkan fitur bagikan/salin tafsirnya, sehingga lebih mudah dalam berbagi ilmu ""وَتَوَاصَوْا بِالْحَقِّ ەۙ وَتَوَاصَوْا بِالصَّبْرِ ࣖ"".",3,0
784,gatot wahyudi,"Tampilan bagus, sayang kompas kiblat tidak support di android 10 saya",3,1
787,Samsu Rizal,"Mohon tambahkan pencarian katanya, sebelumnya ada.",3,0
788,Daeytube Channel,Qiblat Kompasnya kurang akurat 👎👎👎,2,0
798,Nur Kholis Majid,"Kenapa lafad jalalahnya malah jadi samar,, harusnya ditebalkan sja sekalian...",3,0
804,Dang Nick,Lumayan,3,1
810,Hendra Agusni,"Tolong Tafsir Kemenag surat 29 Al Ankabut ayat 24 dikoreksi. Isi tafsirnya ttg kisah Nabi Musa, padahal ayat 24 berisi kisah nabi Ibrahim. Tafsir kemenag yg salah tersebut akhirnya dipakai oleh applikasi2 lainnya. Sepertinya kesalahan tsb sudah berlangsung lama. Terimakasih",3,0
824,adi setiawan,"Yang versi halaman kok sekarang gk bisa dibuka, sama penanda bacaan terahir gk bisa. Gk seperti awal-awal. Padahal mulanya sudah nyaman dengan apk ini daripada yang lain.",3,0
826,Cahaya Mulya,Aamiin ya Allah ya Robbal'alaamiin,1,1
834,zaldin hariadin nursalim,sangat senang dengan aplikasi ini dan belajar tahsin juga enak sehingga saya dan semua keluarga menggunakan Qur'an kementrian agama sebagai panduan untuk belajar dan mudah di mengerti dan alhamdulillah dengan belajar tahsin dengan menggunakan al-Qur'an kementrian agama dengan hurufnya mudah di baca dan mudah juga kalau mau di zoom sehingga memudahkan untuk di baca sehingga kita dan teman-teman banyak yang menggunakan al-Qur-an ini sebagai panduan untuk belajar sehingga saya senang dengan mushaf,3,1
840,warda saja,Al-Qur'an kemenag ini bagus untuk setiap muslim,1,1
851,Zaid Zulfadli,Jenis mushaf posisi ayat tidak sesuai dengan standar Qur'an cetakan Qur'an kemenag yang diterbitkan (Qur'an non pojok),1,0
866,satu dua,Bermanfaat,3,1
871,Cepi Burhanudin,Terima kasih semoga makin bermanfaat,3,1
886,Ferry Anthony,"minta tolong ditambah khusus Qur'annya saja.. untuk memudahkan membaca.. sdh bagus di atas ayat bawah terjemah, tapi susah bagi yg mau muroja'ah",3,1
905,Alwi Godspeed,Maaf kalo Arti nya banyak dipalsuin gini gua mending Uninstall daripada ikutan Sesat,1,0
934,Aswin Azhar,kemenag jangan lah membuat umat bingung kenapa arti dari alquran di rubah sedangkan ALLAH sendiri sudah menjamin ke utuhan nya. apa gak takut kalian sama siksa ALLAH. coba liat al maidah ayat 51. aulia di jadikan teman setia. al araf ayat 16. mehukum karna tersesat. jadi telah menyesatkan aku. ini lah arti menjamin ke utuhan Al quran karna di setiap ada yg merubah. pasti ada yg meluruskan.,1,0
938,Ony Pajero98,"Beneran euy dirubah terjemahan ""aulia"" menjadi ""teman setia""...jadi sedih..benerin wahai kawan, ingat tanggung jawab akhirat.",1,0
940,marom upg,setiap mau putar suara kok harus terhubung internet...,2,0
945,Hidayatullah 95,Mushaf Al-Qur'an Karya Tulisan Tangan UST. ISEP MISBAH blum d Upload d Play Store kah... kog gk ada...,3,0
957,Mayang Geneng,An Naba 33...?,3,0
964,Binzzar Pramudya,"Masih banyak terjemahan yg di takwil, seperti surah al kahfi ayat ke 28 yang jelas2 dalam al qur'an wajhahu yg arti nya wajah berubah makna menjadi keridhaan",1,0
966,mes rianto,Mengapa terjemahan surat al maidah ayat 51 di rubah terjemahan nya bapak kemenag ... ??? Apakah boleh merubah isi al qur'an ?? Mohon penjelasannya bapak2 membuat ini aplikasi ...,1,0
967,Pengguna Google,"Kurang sip, masih bagus Quran Android (offline, fitur pencarian per-lafazh, utsmani)",3,0
994,Dwi Setiawan,terjemahan surat al ikhlas ayat ke 4 tidak ada?,3,0
998,Suwandi To,Tolong bikin offline ya..?,1,0
999,Misbah Sinaga,terlalu halus dan kecil,1,0
1006,tjandra Kurniawan,terjemahannya menyesatkan. pesanan penguasa zolim,1,0
1010,Muh Feri Jarwanto,bagus,2,1
1015,indra arnis,"cukup baik, tapi hendaknya rasm nya disesuaikan dengan rasm utsmani, atau ada pilihan. Dan hendaknya aplikasi ini dikembangkan lagi dengan memuat tafsir-tafsir lain...",3,1
1019,Ahmad Hamzani,mohon di perbaiki lagi kualitas aplikasinya dan mudahan bermanfaat,3,1
1031,Mud Rik,assalaamualaikum....bukanya tidak menghormati yg bikin aplikasi ini...namun terjemahan surat almaidah ayat 51 ...pemimpin jadi teman setia...ya terpaksa saya hapus aplks nya...sblmnya maaf ya..wassalaamualaikum,3,0
1036,Mimo Leo,sayang tidak bisa dizoom,3,0
1037,Ugi Sugiharto,"surah al maidah ayat 51 artinya sudah diganti,beda sama terjemahan Al Quran yang lama",1,0
1042,Luck Laki,lebih bagus versi yg lawas,2,0
1044,Abah Yahya,audio tidak berfungsi suara murotal tidak keluat,2,0
1053,Hari Yono,mengapa pemimpin di ganti teman setia ? mengapa berbeda dengan mushaf yg dulu?,1,0
1054,ajie_ nur,"terjemahab ada yg berubah terpengaruh dg keinginan manusia, ga takut sm adzab Alloh???",1,0
1056,Faraya,tidak bisa terbuka di hp saya..,1,0
1062,fahri,al hamdulillah,3,1
1064,Harry Yuniardi,Crash di android v.9,2,0
1066,Nurul Huda Pas,Aplikasinya harus selalu terhubung dengan internet.,2,0
1071,Munir Nircholaz,Kepada Yth Developer tolong perbaiki menu Tandai Bacaan terakhir belum berfungsi walaupun sudah tersambung ke internet... Overall app is ok. Tetapi cuma bagian bacaan terakhir belum berfungsi sebagai mana mestinya... Tolong Perbaiki Segera,3,1
1076,Rahmad Akbar,"update terbaru langsung force close saat melakukan pencarian, mohon di fix",2,0
1081,yuza rio,page downnya error min... jd gk nyaman,1,0
1088,MS2F Channel,"Setelah terinstall saya tidak menemukan di mana letaknya padahal saat menginstall sudah ada pilihan lokasi, yaitu di C (ASUS)",2,0
1092,Ahmad Haris Ubaidillah,"tidak ada fasilitas download mp3 agar bisa didengarkan offline, harus full koneksi internet",1,0
1093,Pengguna Google,kenapa tdk mau terbuka aplikasix,1,0
1109,wahyudi SAI,baik,3,1
1110,Yeni Erfiany,coba dulu,3,0
1117,Hadi Saifudin,Alhamdulillah. semoga bermanfaat dan barokah !!!,3,1
1129,My Chanel,versi terbaru terlihat kurang nyaman lebih baik versi yang sebelumnya,3,0
1134,Husein Aditya candra,Aplikasi tidak bisa dibuka di android 9 setelah splash screen tiba tiba berhenti,2,0
1145,Yogi Praycell,mslh terjemahan lbh enak yg lm krn per halaman kita tinggal klik langsung ada...versi yg lama bs dibuka tnp koneksi internet,3,0
1146,epri priatna,"Saya senang dengan versi lama, jadi mohon maaf sementara ini saya gak pakai lagi aplikasi ini. Sebagai penggantinya saya pasang aplikasi lain. Mohon agar dikembalikan versi lama",1,0
1156,S Makkiyyah,"Jazaakumullah Khairan kpd semua pihak terkait yang sudah menyediakan app ini. Mohon maaf pak, bag. Asbabun Nuzul kenapa tidak bisa dibuka ya?",3,1
1164,Dudi Permana,"Versi terbaru sangat berat. Harus selalu terhubung ke internat, padahal ayat2nya sudah pernah dibaca. Tidak bisa pilih ayat dalam penandaan batas bacaan. Saya lebih suka versi sebelumnya. Kalau ada apk versi sebelumnya boleh saya minta. Terima kasih",2,0
1165,Pengguna Google,"Yang model per halaman berat membukanya, dan mesti mengubah format memperkecil terlebih dahulu. Dan setingannya jelek, model tempelan. Akan aku hapus aplikasi ini. Maaf.",2,0
1168,Hendri Idrus,Versi terbaru saya malah tidak bisa mendengar audio nya.,2,0
1174,Pengguna Google,Semoga bermanfaat 😊😊,3,1
1175,anton budiarto,untuk mengunduh surat² Al-Qur'an di aplikasi ini terlalu lama sehingga bikin waktu terbuang. Aplikasi yang notabenenya QUR'AN KEMENAG RI justru kalah jauh dengan aplikasi NON KEMENAG. masa negara kalah ama rakyat/swasta.,3,0
1182,Muhammad爪ㄩ乙乙卂,Enak yg dulu ... Per lembar .. nyari halaman nya juga mudah dulu ..,2,0
1203,Pengguna Google,"Lebih baik versi lama per halaman (baris 15), Kurang lengkap. Lengkapi 
dengan Tazwid warna agar bisa belajar membaca AlQuran yg benar...",2,0
1210,Pengguna Google,"Assalamualaikum mohon maaf, menurut saya Lebih bagus versi sebelumnya",1,0
